"[count]","dHashT",
"0.000000","0.000000",
"1000000.000000","8.001736",
"2000000.000000","8.001736",
"3000000.000000","8.001736",
"4000000.000000","8.001740",
"5000000.000000","8.001740",
"6000000.000000","8.001740",
"7000000.000000","8.001740",
"8000000.000000","8.001740",
"9000000.000000","8.001740",
"10000000.000000","8.001740",
"11000000.000000","8.001740",
"12000000.000000","8.001740",
"13000000.000000","8.001740",
"14000000.000000","8.001740",
"15000000.000000","8.001740",
"16000000.000000","8.001740",
"17000000.000000","8.001740",
"18000000.000000","8.001740",
"19000000.000000","8.001740",
"20000000.000000","8.001740",
"21000000.000000","8.001740",
"22000000.000000","8.001740",
"23000000.000000","8.001740",
"24000000.000000","8.001740",
"25000000.000000","8.001740",
"26000000.000000","8.001740",
"27000000.000000","8.001740",
"28000000.000000","8.001740",
"29000000.000000","8.001740",
"30000000.000000","8.001740",
"31000000.000000","8.001740",
"32000000.000000","8.001740",
"33000000.000000","8.001740",
"34000000.000000","8.001740",
"35000000.000000","8.001740",
"36000000.000000","8.001740",
"37000000.000000","8.001740",
"38000000.000000","8.001740",
"39000000.000000","8.001740",
"40000000.000000","8.001740",
"41000000.000000","8.001740",
"42000000.000000","8.001740",
"43000000.000000","8.001740",
"44000000.000000","8.001740",
"45000000.000000","8.001740",
"46000000.000000","8.001740",
"47000000.000000","8.001740",
"48000000.000000","8.001740",
"49000000.000000","8.001740",
"50000000.000000","8.001740",
"51000000.000000","8.001740",
"52000000.000000","8.001740",
"53000000.000000","8.001740",
"54000000.000000","8.001740",
"55000000.000000","8.001740",
"56000000.000000","8.001740",
"57000000.000000","8.001740",
"58000000.000000","8.001740",
"59000000.000000","8.001740",
"60000000.000000","8.001740",
"61000000.000000","8.001740",
"62000000.000000","8.001740",
"63000000.000000","8.001740",
"64000000.000000","8.001740",
"65000000.000000","8.001740",
"66000000.000000","8.001740",
"67000000.000000","8.001740",
"68000000.000000","8.001740",
"69000000.000000","8.001740",
"70000000.000000","8.001740",
"71000000.000000","8.001740",
"72000000.000000","8.001740",
"73000000.000000","8.001740",
"74000000.000000","8.001740",
"75000000.000000","8.001740",
"76000000.000000","8.001740",
"77000000.000000","8.001740",
"78000000.000000","8.001740",
"79000000.000000","8.001740",
"80000000.000000","8.001740",
"81000000.000000","8.001740",
"82000000.000000","8.001740",
"83000000.000000","8.001740",
"84000000.000000","8.001740",
"85000000.000000","8.001740",
"86000000.000000","8.001740",
"87000000.000000","8.001740",
"88000000.000000","8.001740",
"89000000.000000","8.001740",
"90000000.000000","8.001740",
"91000000.000000","8.001740",
"92000000.000000","8.001740",
"93000000.000000","8.001740",
"94000000.000000","8.001740",
"95000000.000000","8.001740",
"96000000.000000","8.001740",
"97000000.000000","8.001740",
"98000000.000000","8.001740",
"99000000.000000","8.001740",
"100000000.000000","8.001740",
"101000000.000000","8.001740",
"102000000.000000","8.001740",
"103000000.000000","8.001740",
"104000000.000000","8.001740",
"105000000.000000","8.001740",
"106000000.000000","8.001740",
"107000000.000000","8.001740",
"108000000.000000","8.001740",
"109000000.000000","8.001740",
"110000000.000000","8.001740",
"111000000.000000","8.001740",
"112000000.000000","8.001740",
"113000000.000000","8.001740",
"114000000.000000","8.001740",
"115000000.000000","8.001740",
"116000000.000000","8.001740",
"117000000.000000","8.001740",
"118000000.000000","8.001740",
"119000000.000000","8.001740",
"120000000.000000","8.001740",
"121000000.000000","8.001740",
"122000000.000000","8.001740",
"123000000.000000","8.001740",
"124000000.000000","8.001740",
"125000000.000000","8.001740",
"126000000.000000","8.001740",
"127000000.000000","8.001740",
"128000000.000000","8.001740",
"129000000.000000","8.001740",
"130000000.000000","8.001743",
"131000000.000000","8.001743",
"132000000.000000","8.001743",
"133000000.000000","8.001743",
"134000000.000000","8.001743",
"135000000.000000","8.001743",
"136000000.000000","8.001743",
"137000000.000000","8.001743",
"138000000.000000","8.001743",
"139000000.000000","8.001743",
"140000000.000000","8.001743",
"141000000.000000","8.001743",
"142000000.000000","8.001743",
"143000000.000000","8.001743",
"144000000.000000","8.001743",
"145000000.000000","8.001743",
"146000000.000000","8.001743",
"147000000.000000","8.001743",
"148000000.000000","8.001743",
"149000000.000000","8.001743",
"150000000.000000","8.001743",
"151000000.000000","8.001743",
"152000000.000000","8.001743",
"153000000.000000","8.001743",
"154000000.000000","8.001743",
"155000000.000000","8.001743",
"156000000.000000","8.001743",
"157000000.000000","8.001743",
"158000000.000000","8.001743",
"159000000.000000","8.001743",
"160000000.000000","8.001743",
"161000000.000000","8.001743",
"162000000.000000","8.001743",
"163000000.000000","8.001743",
"164000000.000000","8.001743",
"165000000.000000","8.001743",
"166000000.000000","8.001743",
"167000000.000000","8.001743",
"168000000.000000","8.001743",
"169000000.000000","8.001743",
"170000000.000000","8.001743",
"171000000.000000","8.001743",
"172000000.000000","8.001743",
"173000000.000000","8.001743",
"174000000.000000","8.001743",
"175000000.000000","8.001743",
"176000000.000000","8.001743",
"177000000.000000","8.001743",
"178000000.000000","8.001743",
"179000000.000000","8.001743",
"180000000.000000","8.001743",
"181000000.000000","8.001743",
"182000000.000000","8.001743",
"183000000.000000","8.001743",
"184000000.000000","8.001743",
"185000000.000000","8.001743",
"186000000.000000","8.001743",
"187000000.000000","8.001743",
"188000000.000000","8.001743",
"189000000.000000","8.001743",
"190000000.000000","8.001743",
"191000000.000000","8.001743",
"192000000.000000","8.001743",
"193000000.000000","8.001743",
"194000000.000000","8.001743",
"195000000.000000","8.001743",
"196000000.000000","8.001743",
"197000000.000000","8.001743",
"198000000.000000","8.001743",
"199000000.000000","8.001743",
"200000000.000000","8.001743",
